,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
669,2575,2-s2.0-44949152488,56159704200,60002162,4,not high,0
670,2577,2-s2.0-47649122873,6602895421,60003662,6,not high,0
673,2584,2-s2.0-49049115527,35361916700,60003467,6,not high,0
674,2586,2-s2.0-38349072114,35365614500,60028897,1,not high,0
676,2595,2-s2.0-84872000854,22837346500,60013983,0,not high,0
678,2603,2-s2.0-84871968195,23979079900,60025709,0,not high,0
682,2610,2-s2.0-47649125364,7102918883,112206866,0,not high,0
683,2612,2-s2.0-47649111428,35494039700,60018988,0,not high,0
684,2622,2-s2.0-47649096761,6701850331,60000928,0,not high,0
686,2628,2-s2.0-37849004187,7409188146,60013983,0,not high,0
688,2631,2-s2.0-47649125999,14631528100,60012387,4,not high,0
693,2643,2-s2.0-49049093202,6701331312,60025965,3,not high,0
694,2645,2-s2.0-49049091934,35361916700,60003467,2,not high,0
695,2647,2-s2.0-37849044344,7409435006,60007381,1,not high,0
697,2650,2-s2.0-38349045395,12141512300,60010756,12,not high,0
699,2654,2-s2.0-36749056793,6701650205,60002173,23,not high,0
701,2658,2-s2.0-47349084854,12752738000,60031818,0,not high,0
702,2664,2-s2.0-47649102098,36145644400,60003212,0,not high,0
704,2668,2-s2.0-47249090065,7404388056,60018029,0,not high,0
705,2670,2-s2.0-84885979094,7004401376,60007174,0,not high,0
708,2679,2-s2.0-47649125138,9272100300,60024728,0,not high,0
709,2682,2-s2.0-84863036312,7401955910,60001490,0,not high,0
711,2687,2-s2.0-47649127668,55740453000,60003500,0,not high,0
714,2702,2-s2.0-38049038426,7004005515,60000145,0,not high,0
715,2706,2-s2.0-47649101830,56852573600,60018491,0,not high,0
716,2707,2-s2.0-47649130866,35487931000,60002668,0,not high,0
719,2711,2-s2.0-44949192816,6701604269,60010146,0,not high,0
721,2715,2-s2.0-84878024472,8580433300,60001091,0,not high,0
723,2727,2-s2.0-47649104914,35571641700,60030551,3,not high,0
726,2734,2-s2.0-36949003693,23049540800,60012259,79,not high,0
728,2737,2-s2.0-47649102922,7404424706,60018306,1,not high,0
731,2748,2-s2.0-47649101316,7006247012,60018306,21,not high,0
732,2750,2-s2.0-79956298822,56372739500,60029526,3,not high,0
733,2751,2-s2.0-38449101474,35613483800,60006224,11,not high,0
736,2755,2-s2.0-49049107912,6602266666,60007056,2,not high,0
737,2763,2-s2.0-35948965245,7003363257,60001772,82,not high,0
738,2771,2-s2.0-47649132439,7403203987,60004354,0,not high,0
739,2772,2-s2.0-47649123291,55843631800,60015186,0,not high,0
742,2776,2-s2.0-47649085073,7102815778,60033114,0,not high,0
744,2785,2-s2.0-84856983453,6602439820,60018491,0,not high,0
745,2788,2-s2.0-84886001578,7003412852,60005510,0,not high,0
746,2791,2-s2.0-38349044403,22135999900,60007711,0,not high,0
748,2796,2-s2.0-57649207940,7004304615,60023256,0,not high,0
749,2799,2-s2.0-47649128759,7101675753,60020273,0,not high,0
750,2814,2-s2.0-47649114093,6701682958,60010413,3,not high,0
