eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749105231,105298381,Zhengzhou Water Supply Corporation,China
2-s2.0-72749105231,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749107047,60020697,Institute of Plasma Physics Chinese Academy of Sciences,China
2-s2.0-72749091772,60089798,Luoyang Institute of Science and Technology,China
2-s2.0-72749091772,60014966,Peking University,China
2-s2.0-72749102557,60029885,Sichuan Agricultural University,China
2-s2.0-72749102557,60010851,Hohai University,China
2-s2.0-72749102557,60016521,Sichuan University,China
2-s2.0-72749095370,60015138,University of Nottingham,United Kingdom
2-s2.0-72749107997,60022281,Beijing University of Technology,China
2-s2.0-72749110309,60001604,Ministry of Education China,China
2-s2.0-72749110309,60010953,Donghua University,China
2-s2.0-72749106861,60010591,Huazhong Normal University,China
2-s2.0-72749100218,60025569,Tianjin Polytechnic University,China
2-s2.0-72749101443,60024059,Guangxi University for Nationalities,China
2-s2.0-72749101443,60021200,East China Normal University,China
2-s2.0-72749105200,60019499,Chinese Academy of Sciences,China
2-s2.0-72749086892,60022422,Ocean University of China,China
2-s2.0-72749103950,60010851,Hohai University,China
2-s2.0-72749103950,60005244,Southeast University,China
2-s2.0-72749115713,108140360,Fengnan Hospital of Traditional Chinese Medicine,China
2-s2.0-72749115713,60018614,Institute of Psychology Chinese Academy of Sciences,China
2-s2.0-72749115713,60012820,Institute of Physics Chinese Academy of Sciences,China
2-s2.0-72749100208,60022281,Beijing University of Technology,China
2-s2.0-72749102264,60031101,University of Cambridge,United Kingdom
2-s2.0-72749114629,60104225,Jiangxi University of Science and Technology,China
2-s2.0-72749119250,60010206,Shanxi Normal University,China
